trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
42,2015-12-15 05:00:00+00:00,买入AZO,761.3,2262,1722780.46,-,,,,
43,2015-12-18 05:00:00+00:00,卖出AZO,741.88,2322,0.0,-,-43946.36,-2.55,1578834.08,1578.83
43,2015-12-18 05:00:00+00:00,买入TSLA,15.36,109270,1678834.1,0.0,,,,
44,2016-01-08 05:00:00+00:00,卖出TSLA,14.07,0,0.0,1537073.62,-141760.48,-8.44,1437073.6,1437.07
44,2016-01-08 05:00:00+00:00,买入AZO,712.06,2158,1537073.62,-,,,,
45,2016-02-29 05:00:00+00:00,卖出AZO,774.57,1984,0.0,-,134935.94,8.78,1572009.54,1572.01
45,2016-02-29 05:00:00+00:00,买入TSLA,12.8,130673,1672009.56,0.0,,,,
46,2016-05-04 04:00:00+00:00,卖出TSLA,14.84,0,0.0,1938844.6,266835.04,15.96,1838844.58,1838.84
46,2016-05-04 04:00:00+00:00,买入AZO,785.42,2468,1938844.6,-,,,,
47,2016-06-08 04:00:00+00:00,卖出AZO,760.58,2549,0.0,-,-61318.57,-3.16,1777526.01,1777.53
47,2016-06-08 04:00:00+00:00,买入TSLA,15.7,119577,1877526.03,0.0,,,,
48,2016-06-20 04:00:00+00:00,卖出TSLA,14.65,0,0.0,1751411.65,-126114.38,-6.72,1651411.63,1651.41
48,2016-06-20 04:00:00+00:00,买入AZO,752.06,2328,1751411.65,-,,,,
49,2016-06-28 04:00:00+00:00,卖出AZO,790.46,2215,0.0,-,89426.71,5.11,1740838.34,1740.84
49,2016-06-28 04:00:00+00:00,买入TSLA,13.45,136838,1840838.36,0.0,,,,
50,2016-08-17 04:00:00+00:00,卖出TSLA,14.88,0,0.0,2036516.85,195678.49,10.63,1936516.83,1936.52
50,2016-08-17 04:00:00+00:00,买入AZO,786.26,2590,2036516.85,-,,,,
51,2016-10-05 04:00:00+00:00,卖出AZO,759.44,2681,0.0,-,-69467.35,-3.41,1867049.48,1867.05
51,2016-10-05 04:00:00+00:00,买入TSLA,13.9,141541,1967049.5,0.0,,,,
52,2016-10-11 04:00:00+00:00,卖出TSLA,13.34,0,0.0,1888163.75,-78885.75,-4.01,1788163.73,1788.16
52,2016-10-11 04:00:00+00:00,买入AZO,760.61,2482,1888163.75,-,,,,
53,2016-12-12 05:00:00+00:00,卖出AZO,802.37,2353,0.0,-,103666.45,5.49,1891830.18,1891.83
53,2016-12-12 05:00:00+00:00,买入TSLA,12.83,155264,1991830.2,0.0,,,,
54,2017-03-01 05:00:00+00:00,卖出TSLA,16.67,0,0.0,2587940.36,596110.16,29.93,2487940.34,2487.94
54,2017-03-01 05:00:00+00:00,买入AZO,738.97,3502,2587940.36,-,,,,
55,2017-03-24 04:00:00+00:00,卖出AZO,721.16,3588,0.0,-,-62372.24,-2.41,2425568.1,2425.57
55,2017-03-24 04:00:00+00:00,买入TSLA,17.54,143956,2525568.13,0.0,,,,
56,2017-05-24 04:00:00+00:00,卖出TSLA,20.68,0,0.0,2977206.73,451638.61,17.88,2877206.71,2877.21
56,2017-05-24 04:00:00+00:00,买入AZO,590.99,5037,2977206.73,-,,,,
57,2017-05-30 04:00:00+00:00,卖出AZO,612.98,4856,0.0,-,110778.1,3.72,2987984.81,2987.98
57,2017-05-30 04:00:00+00:00,买入TSLA,22.34,138226,3087984.83,0.0,,,,
58,2017-07-06 04:00:00+00:00,卖出TSLA,20.59,0,0.0,2845903.79,-242081.04,-7.84,2745903.77,2745.9
58,2017-07-06 04:00:00+00:00,买入AZO,507.48,5607,2845903.79,-,,,,
59,2017-08-08 04:00:00+00:00,卖出AZO,530.97,5359,0.0,-,131729.65,4.63,2877633.42,2877.63
59,2017-08-08 04:00:00+00:00,买入TSLA,24.35,122294,2977633.44,0.0,,,,
60,2017-09-11 04:00:00+00:00,卖出TSLA,24.25,0,0.0,2965159.46,-12473.98,-0.42,2865159.44,2865.16
60,2017-09-11 04:00:00+00:00,买入AZO,540.32,5487,2965159.46,-,,,,
61,2017-12-12 05:00:00+00:00,卖出AZO,711.05,4170,0.0,-,936929.25,31.6,3802088.69,3802.09
61,2017-12-12 05:00:00+00:00,买入TSLA,22.74,171631,3902088.71,0.0,,,,
62,2018-01-02 05:00:00+00:00,卖出TSLA,21.37,0,0.0,3667526.6,-234562.11,-6.01,3567526.58,3567.53
62,2018-01-02 05:00:00+00:00,买入AZO,736.54,4979,3667526.6,-,,,,
63,2018-01-09 05:00:00+00:00,卖出AZO,770.95,4757,0.0,-,171341.3,4.67,3738867.88,3738.87
