trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
27,2013-12-12 05:00:00+00:00,买入TSLA,9.83,58500,575138.89,0.0,,,,
28,2014-03-26 04:00:00+00:00,卖出TSLA,14.2,0,0.0,830552.52,255413.63,44.41,730552.51,730.55
28,2014-03-26 04:00:00+00:00,买入AZO,522.75,794,415276.26,-,,,,
28,2014-03-26 04:00:00+00:00,买入ORLY,9.79,42435,415276.26,-,,,,
29,2014-05-13 04:00:00+00:00,卖出AZO,533.11,778,0.0,-,8230.04,1.98,738782.55,738.78
29,2014-05-13 04:00:00+00:00,卖出ORLY,9.94,41789,0.0,-,6421.92,1.55,745204.47,745.2
29,2014-05-13 04:00:00+00:00,买入TSLA,12.68,66670,845204.49,0.0,,,,
30,2014-07-14 04:00:00+00:00,卖出TSLA,15.11,0,0.0,1007613.88,162409.4,19.22,907613.87,907.61
30,2014-07-14 04:00:00+00:00,买入AZO,533.66,944,503806.94,-,,,,
30,2014-07-14 04:00:00+00:00,买入ORLY,10.39,48477,503806.94,-,,,,
31,2014-08-04 04:00:00+00:00,卖出AZO,519.49,969,0.0,-,-13377.31,-2.66,894236.56,894.24
31,2014-08-04 04:00:00+00:00,卖出ORLY,10.06,50103,0.0,-,-16352.98,-3.25,877883.58,877.88
31,2014-08-04 04:00:00+00:00,买入TSLA,15.9,61496,977883.59,0.0,,,,
32,2014-09-19 04:00:00+00:00,卖出TSLA,17.29,0,0.0,1063159.41,85275.82,8.72,963159.4,963.16
32,2014-09-19 04:00:00+00:00,买入AZO,526.44,1009,531579.71,-,,,,
32,2014-09-19 04:00:00+00:00,买入ORLY,10.26,51834,531579.71,-,,,,
33,2014-11-12 05:00:00+00:00,卖出AZO,568.8,934,0.0,-,42773.55,8.05,1005932.95,1005.93
33,2014-11-12 05:00:00+00:00,卖出ORLY,12.0,44295,0.0,-,90468.44,17.02,1096401.39,1096.4
33,2014-11-12 05:00:00+00:00,买入TSLA,16.61,72043,1196401.4,0.0,,,,
34,2014-12-03 05:00:00+00:00,卖出TSLA,15.29,0,0.0,1101304.08,-95097.32,-7.95,1001304.07,1001.3
34,2014-12-03 05:00:00+00:00,买入AZO,590.55,932,550652.04,-,,,,
34,2014-12-03 05:00:00+00:00,买入ORLY,12.58,43778,550652.04,-,,,,
35,2015-02-05 05:00:00+00:00,卖出AZO,614.88,895,0.0,-,22686.27,4.12,1023990.34,1023.99
35,2015-02-05 05:00:00+00:00,卖出ORLY,13.88,39664,0.0,-,57116.97,10.37,1081107.31,1081.11
35,2015-02-05 05:00:00+00:00,买入TSLA,14.73,80169,1181107.32,0.0,,,,
36,2015-02-19 05:00:00+00:00,卖出TSLA,14.11,0,0.0,1131509.26,-49598.06,-4.2,1031509.25,1031.51
36,2015-02-19 05:00:00+00:00,买入AZO,618.34,914,565754.63,-,,,,
36,2015-02-19 05:00:00+00:00,买入ORLY,13.66,41414,565754.63,-,,,,
37,2015-03-04 05:00:00+00:00,卖出AZO,652.48,867,0.0,-,31236.59,5.52,1062745.84,1062.75
37,2015-03-04 05:00:00+00:00,卖出ORLY,13.86,40832,0.0,-,8062.06,1.43,1070807.9,1070.81
37,2015-03-04 05:00:00+00:00,买入TSLA,13.5,86752,1170807.92,0.0,,,,
38,2015-07-15 04:00:00+00:00,卖出TSLA,17.54,0,0.0,1521865.25,351057.33,29.98,1421865.23,1421.87
38,2015-07-15 04:00:00+00:00,买入AZO,680.78,1117,760932.62,-,,,,
38,2015-07-15 04:00:00+00:00,买入ORLY,15.85,48020,760932.62,-,,,,
39,2015-09-11 04:00:00+00:00,卖出AZO,727.44,1046,0.0,-,52153.55,6.85,1474018.78,1474.02
39,2015-09-11 04:00:00+00:00,卖出ORLY,16.39,46426,0.0,-,26123.13,3.43,1500141.91,1500.14
39,2015-09-11 04:00:00+00:00,买入TSLA,16.68,95916,1600141.93,0.0,,,,
40,2015-10-05 04:00:00+00:00,卖出TSLA,16.41,0,0.0,1573988.69,-26153.24,-1.63,1473988.67,1473.99
40,2015-10-05 04:00:00+00:00,买入AZO,747.28,1053,786994.34,-,,,,
40,2015-10-05 04:00:00+00:00,买入ORLY,16.95,46437,786994.34,-,,,,
41,2015-11-25 05:00:00+00:00,卖出AZO,786.09,1001,0.0,-,40872.56,5.19,1514861.23,1514.86
41,2015-11-25 05:00:00+00:00,卖出ORLY,17.88,44016,0.0,-,43279.94,5.5,1558141.17,1558.14
41,2015-11-25 05:00:00+00:00,买入TSLA,15.31,108309,1658141.19,0.0,,,,
42,2015-12-15 05:00:00+00:00,卖出TSLA,14.74,0,0.0,1596405.0,-61736.2,-3.72,1496404.97,1496.4
42,2015-12-15 05:00:00+00:00,买入AZO,761.3,1048,798202.5,-,,,,
42,2015-12-15 05:00:00+00:00,买入ORLY,16.72,47745,798202.5,-,,,,
43,2015-12-18 05:00:00+00:00,卖出AZO,741.88,1075,0.0,-,-20361.33,-2.55,1476043.64,1476.04
43,2015-12-18 05:00:00+00:00,卖出ORLY,16.76,47629,0.0,-,1941.63,0.24,1477985.27,1477.99
43,2015-12-18 05:00:00+00:00,买入TSLA,15.36,102706,1577985.3,0.0,,,,
44,2016-01-08 05:00:00+00:00,卖出TSLA,14.07,0,0.0,1444740.47,-133244.83,-8.44,1344740.44,1344.74
44,2016-01-08 05:00:00+00:00,买入AZO,712.06,1014,722370.24,-,,,,
44,2016-01-08 05:00:00+00:00,买入ORLY,15.64,46175,722370.24,-,,,,
45,2016-02-29 05:00:00+00:00,卖出AZO,774.57,932,0.0,-,63415.12,8.78,1408155.56,1408.16
45,2016-02-29 05:00:00+00:00,卖出ORLY,17.35,41623,0.0,-,78991.01,10.93,1487146.57,1487.15
45,2016-02-29 05:00:00+00:00,买入TSLA,12.8,124041,1587146.61,0.0,,,,
46,2016-05-04 04:00:00+00:00,卖出TSLA,14.84,0,0.0,1840438.42,253291.81,15.96,1740438.38,1740.44
46,2016-05-04 04:00:00+00:00,买入AZO,785.42,1171,920219.21,-,,,,
46,2016-05-04 04:00:00+00:00,买入ORLY,17.9,51401,920219.21,-,,,,
47,2016-06-08 04:00:00+00:00,卖出AZO,760.58,1209,0.0,-,-29103.17,-3.16,1711335.21,1711.34
47,2016-06-08 04:00:00+00:00,卖出ORLY,17.43,52803,0.0,-,-24432.67,-2.66,1686902.54,1686.9
47,2016-06-08 04:00:00+00:00,买入TSLA,15.7,113805,1786902.58,0.0,,,,
48,2016-06-20 04:00:00+00:00,卖出TSLA,14.65,0,0.0,1666875.42,-120027.15,-6.72,1566875.39,1566.88
48,2016-06-20 04:00:00+00:00,买入AZO,752.06,1108,833437.71,-,,,,
48,2016-06-20 04:00:00+00:00,买入ORLY,17.44,47781,833437.71,-,,,,
49,2016-06-28 04:00:00+00:00,卖出AZO,790.46,1054,0.0,-,42555.15,5.11,1609430.54,1609.43
49,2016-06-28 04:00:00+00:00,卖出ORLY,18.1,46058,0.0,-,31185.4,3.74,1640615.94,1640.62
49,2016-06-28 04:00:00+00:00,买入TSLA,13.45,129388,1740615.98,0.0,,,,
50,2016-08-17 04:00:00+00:00,卖出TSLA,14.88,0,0.0,1925640.97,185025.0,10.63,1825640.94,1825.64
50,2016-08-17 04:00:00+00:00,买入AZO,786.26,1224,962820.49,-,,,,
50,2016-08-17 04:00:00+00:00,买入ORLY,19.05,50545,962820.49,-,,,,
51,2016-10-05 04:00:00+00:00,卖出AZO,759.44,1267,0.0,-,-32842.64,-3.41,1792798.3,1792.8
51,2016-10-05 04:00:00+00:00,卖出ORLY,18.32,52544,0.0,-,-36628.58,-3.8,1756169.72,1756.17
51,2016-10-05 04:00:00+00:00,买入TSLA,13.9,133563,1856169.76,0.0,,,,
52,2016-10-11 04:00:00+00:00,卖出TSLA,13.34,0,0.0,1781730.68,-74439.08,-4.01,1681730.64,1681.73
52,2016-10-11 04:00:00+00:00,买入AZO,760.61,1171,890865.34,-,,,,
52,2016-10-11 04:00:00+00:00,买入ORLY,18.31,48665,890865.34,-,,,,
53,2016-12-12 05:00:00+00:00,卖出AZO,802.37,1110,0.0,-,48911.46,5.49,1730642.1,1730.64
53,2016-12-12 05:00:00+00:00,卖出ORLY,18.46,48264,0.0,-,7397.13,0.83,1738039.23,1738.04
53,2016-12-12 05:00:00+00:00,买入TSLA,12.83,143275,1838039.27,0.0,,,,
54,2017-03-01 05:00:00+00:00,卖出TSLA,16.67,0,0.0,2388123.26,550083.98,29.93,2288123.21,2288.12
54,2017-03-01 05:00:00+00:00,买入AZO,738.97,1615,1194061.63,-,,,,
54,2017-03-01 05:00:00+00:00,买入ORLY,18.1,65965,1194061.63,-,,,,
55,2017-03-24 04:00:00+00:00,卖出AZO,721.16,1655,0.0,-,-28778.21,-2.41,2259345.0,2259.35
55,2017-03-24 04:00:00+00:00,卖出ORLY,18.12,65907,0.0,-,1055.37,0.09,2260400.37,2260.4
55,2017-03-24 04:00:00+00:00,买入TSLA,17.54,134541,2360400.41,0.0,,,,
56,2017-05-24 04:00:00+00:00,卖出TSLA,20.68,0,0.0,2782502.65,422102.24,17.88,2682502.61,2682.5
56,2017-05-24 04:00:00+00:00,买入AZO,590.99,2354,1391251.32,-,,,,
56,2017-05-24 04:00:00+00:00,买入ORLY,16.0,86949,1391251.32,-,,,,
57,2017-05-30 04:00:00+00:00,卖出AZO,612.98,2269,0.0,-,51766.7,3.72,2734269.31,2734.27
57,2017-05-30 04:00:00+00:00,卖出ORLY,16.51,84273,0.0,-,44170.34,3.17,2778439.65,2778.44
57,2017-05-30 04:00:00+00:00,买入TSLA,22.34,128846,2878439.69,0.0,,,,
58,2017-07-06 04:00:00+00:00,卖出TSLA,20.59,0,0.0,2652785.84,-225653.85,-7.84,2552785.8,2552.79
58,2017-07-06 04:00:00+00:00,买入AZO,507.48,2613,1326392.92,-,,,,
58,2017-07-06 04:00:00+00:00,买入ORLY,11.77,112705,1326392.92,-,,,,
59,2017-08-08 04:00:00+00:00,卖出AZO,530.97,2498,0.0,-,61395.36,4.63,2614181.16,2614.18
59,2017-08-08 04:00:00+00:00,卖出ORLY,13.54,97975,0.0,-,199413.46,15.03,2813594.62,2813.59
59,2017-08-08 04:00:00+00:00,买入TSLA,24.35,119664,2913594.65,0.0,,,,
60,2017-09-11 04:00:00+00:00,卖出TSLA,24.25,0,0.0,2901388.94,-12205.71,-0.42,2801388.91,2801.39
60,2017-09-11 04:00:00+00:00,买入AZO,540.32,2684,1450694.47,-,,,,
60,2017-09-11 04:00:00+00:00,买入ORLY,13.09,110790,1450694.47,-,,,,
61,2017-12-12 05:00:00+00:00,卖出AZO,711.05,2040,0.0,-,458389.54,31.6,3259778.45,3259.78
61,2017-12-12 05:00:00+00:00,卖出ORLY,16.46,88148,0.0,-,372626.26,25.69,3632404.71,3632.4
61,2017-12-12 05:00:00+00:00,买入TSLA,22.74,164167,3732404.74,0.0,,,,
62,2018-01-02 05:00:00+00:00,卖出TSLA,21.37,0,0.0,3508042.66,-224362.08,-6.01,3408042.63,3408.04
62,2018-01-02 05:00:00+00:00,买入AZO,736.54,2381,1754021.33,-,,,,
62,2018-01-02 05:00:00+00:00,买入ORLY,16.62,105553,1754021.33,-,,,,
63,2018-01-09 05:00:00+00:00,卖出AZO,770.95,2275,0.0,-,81945.22,4.67,3489987.85,3489.99
