trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
12,2013-01-23 05:00:00+00:00,买入,2.33,397343,927663.58,2.26,,,,
12,2013-02-26 05:00:00+00:00,卖出,2.3,397343,912829.19,912831.45,-14834.39,-1.6,-87168.56,-8.72
13,2013-03-11 04:00:00+00:00,买入,2.59,352263,912830.71,0.74,,,,
13,2013-03-19 04:00:00+00:00,卖出,2.35,352263,827818.02,827818.76,-85012.69,-9.31,-172181.25,-17.22
14,2013-03-28 04:00:00+00:00,买入,2.55,324804,827817.22,1.54,,,,
14,2013-10-15 04:00:00+00:00,卖出,12.35,324804,4011979.08,4011980.62,3184161.86,384.65,3011980.61,301.2
15,2013-10-16 04:00:00+00:00,买入,12.33,325471,4011972.58,8.04,,,,
15,2013-10-24 04:00:00+00:00,卖出,11.0,325471,3580181.0,3580189.04,-431791.58,-10.76,2580189.03,258.02
16,2013-12-10 05:00:00+00:00,买入,9.34,383454,3580182.33,6.71,,,,
16,2014-03-26 04:00:00+00:00,卖出,14.8,383454,5673841.19,5673847.9,2093658.85,58.48,4673847.88,467.38
17,2014-05-06 04:00:00+00:00,买入,14.44,392925,5673836.84,11.06,,,,
17,2014-05-09 04:00:00+00:00,卖出,11.99,392925,4711432.97,4711444.03,-962403.87,-16.96,3711444.01,371.14
18,2014-05-27 04:00:00+00:00,买入,13.9,338920,4711439.73,4.3,,,,
18,2014-07-14 04:00:00+00:00,卖出,14.67,338920,4970600.84,4970605.14,259161.11,5.5,3970605.12,397.06
19,2014-08-04 04:00:00+00:00,买入,15.63,318111,4970590.25,14.89,,,,
19,2014-09-19 04:00:00+00:00,卖出,17.2,318111,5471297.08,5471311.97,500706.83,10.07,4471311.95,447.13
20,2014-11-12 05:00:00+00:00,买入,16.65,328646,5471298.84,13.12,,,,
20,2014-12-03 05:00:00+00:00,卖出,15.08,328646,4957077.06,4957090.19,-514221.78,-9.4,3957090.17,395.71
21,2015-02-05 05:00:00+00:00,买入,14.66,338167,4957077.31,12.88,,,,
21,2015-02-19 05:00:00+00:00,卖出,13.67,338167,4621615.77,4621628.65,-335461.54,-6.77,3621628.63,362.16
22,2015-02-23 05:00:00+00:00,买入,14.38,321452,4621622.35,6.3,,,,
22,2015-03-02 05:00:00+00:00,卖出,13.51,321452,4343888.02,4343894.32,-277734.32,-6.01,3343894.31,334.39
23,2015-04-09 04:00:00+00:00,买入,13.9,312615,4343889.62,4.71,,,,
23,2015-07-15 04:00:00+00:00,卖出,17.78,312615,5559128.49,5559133.2,1215238.88,27.98,4559133.19,455.91
24,2015-07-16 04:00:00+00:00,买入,17.61,315596,5559118.73,14.47,,,,
24,2015-07-28 04:00:00+00:00,卖出,17.05,315596,5380911.56,5380926.03,-178207.17,-3.21,4380926.02,438.09
25,2015-09-11 04:00:00+00:00,买入,16.51,325932,5380919.81,6.22,,,,
25,2015-10-05 04:00:00+00:00,卖出,16.59,325932,5406994.35,5407000.57,26074.54,0.48,4407000.56,440.7
26,2015-11-23 05:00:00+00:00,买入,14.49,373153,5406986.88,13.68,,,,
26,2015-12-15 05:00:00+00:00,卖出,14.79,373153,5518186.6,5518200.29,111199.72,2.06,4518200.28,451.82
